"ENSEMBL" "SYMBOL" "GENENAME"
"45" "ENSG00000004399" "PLXND1" "plexin D1"
"47" "ENSG00000004468" "CD38" "CD38 molecule"
"48" "ENSG00000004478" "FKBP4" "FKBP prolyl isomerase 4"
"49" "ENSG00000004487" "KDM1A" "lysine demethylase 1A"
"51" "ENSG00000004660" "CAMKK1" "calcium/calmodulin dependent protein kinase kinase 1"
"52" "ENSG00000004700" "RECQL" "RecQ like helicase"
"54" "ENSG00000004777" "ARHGAP33" "Rho GTPase activating protein 33"
"55" "ENSG00000004779" "NDUFAB1" "NADH:ubiquinone oxidoreductase subunit AB1"
"56" "ENSG00000004799" "PDK4" "pyruvate dehydrogenase kinase 4"
"57" "ENSG00000004809" "SLC22A16" "solute carrier family 22 member 16"
"58" "ENSG00000004838" "ZMYND10" "zinc finger MYND-type containing 10"
"59" "ENSG00000004846" "ABCB5" "ATP binding cassette subfamily B member 5"
"60" "ENSG00000004848" "ARX" "aristaless related homeobox"
"61" "ENSG00000004864" "SLC25A13" "solute carrier family 25 member 13"
"62" "ENSG00000004866" "ST7" "suppression of tumorigenicity 7"
"64" "ENSG00000004939" "SLC4A1" "solute carrier family 4 member 1 (Diego blood group)"
"65" "ENSG00000004961" "HCCS" "holocytochrome c synthase"
"67" "ENSG00000005001" "PRSS22" "serine protease 22"
"69" "ENSG00000005020" "SKAP2" "src kinase associated phosphoprotein 2"
"71" "ENSG00000005059" "MCUB" "mitochondrial calcium uniporter dominant negative beta subunit"
"73" "ENSG00000005100" "DHX33" "DEAH-box helicase 33"
"74" "ENSG00000005108" "THSD7A" "thrombospondin type 1 domain containing 7A"
"75" "ENSG00000005156" "LIG3" "DNA ligase 3"
"77" "ENSG00000005187" "ACSM3" "acyl-CoA synthetase medium chain family member 3"
"78" "ENSG00000005189" "REXO5" "RNA exonuclease 5"
"79" "ENSG00000005194" "CIAPIN1" "cytokine induced apoptosis inhibitor 1"
"80" "ENSG00000005206" "SPPL2B" "signal peptide peptidase like 2B"
"82" "ENSG00000005243" "COPZ2" "coatomer protein complex subunit zeta 2"
"83" "ENSG00000005249" "PRKAR2B" "protein kinase cAMP-dependent type II regulatory subunit beta"
"86" "ENSG00000005379" "TSPOAP1" "TSPO associated protein 1"
"87" "ENSG00000005381" "MPO" "myeloperoxidase"
"88" "ENSG00000005436" "GCFC2" "GC-rich sequence DNA-binding factor 2"
"89" "ENSG00000005448" "WDR54" "WD repeat domain 54"
"91" "ENSG00000005471" "ABCB4" "ATP binding cassette subfamily B member 4"
"98" "ENSG00000005844" "ITGAL" "integrin subunit alpha L"
"99" "ENSG00000005882" "PDK2" "pyruvate dehydrogenase kinase 2"
"100" "ENSG00000005884" "ITGA3" "integrin subunit alpha 3"
"103" "ENSG00000005961" "ITGA2B" "integrin subunit alpha 2b"
"104" "ENSG00000005981" "ASB4" "ankyrin repeat and SOCS box containing 4"
"106" "ENSG00000006015" "REX1BD" "required for excision 1-B domain containing"
"107" "ENSG00000006016" "CRLF1" "cytokine receptor like factor 1"
"108" "ENSG00000006025" "OSBPL7" "oxysterol binding protein like 7"
"109" "ENSG00000006042" "TMEM98" "transmembrane protein 98"
"110" "ENSG00000006047" "YBX2" "Y-box binding protein 2"
"111" "ENSG00000006062" "MAP3K14" "mitogen-activated protein kinase kinase kinase 14"
"112" "ENSG00000006071" "ABCC8" "ATP binding cassette subfamily C member 8"
"113" "ENSG00000006118" "TMEM132A" "transmembrane protein 132A"
"115" "ENSG00000006194" "ZNF263" "zinc finger protein 263"
"116" "ENSG00000006210" "CX3CL1" "C-X3-C motif chemokine ligand 1"
"117" "ENSG00000006282" "SPATA20" "spermatogenesis associated 20"
"118" "ENSG00000006283" "CACNA1G" "calcium voltage-gated channel subunit alpha1 G"
"119" "ENSG00000006327" "TNFRSF12A" "TNF receptor superfamily member 12A"
"120" "ENSG00000006377" "DLX6" "distal-less homeobox 6"
"125" "ENSG00000006468" "ETV1" "ETS variant transcription factor 1"
"126" "ENSG00000006530" "AGK" "acylglycerol kinase"
"127" "ENSG00000006534" "ALDH3B1" "aldehyde dehydrogenase 3 family member B1"
"128" "ENSG00000006555" "TTC22" "tetratricopeptide repeat domain 22"
"131" "ENSG00000006611" "USH1C" "USH1 protein network component harmonin"
"132" "ENSG00000006625" "GGCT" "gamma-glutamylcyclotransferase"
"133" "ENSG00000006634" "DBF4" "DBF4 zinc finger"
"134" "ENSG00000006638" "TBXA2R" "thromboxane A2 receptor"
"135" "ENSG00000006652" "IFRD1" "interferon related developmental regulator 1"
"136" "ENSG00000006659" "LGALS14" "galectin 14"
"137" "ENSG00000006695" "COX10" "cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"138" "ENSG00000006704" "GTF2IRD1" "GTF2I repeat domain containing 1"
"139" "ENSG00000006712" "PAF1" "PAF1 homolog, Paf1/RNA polymerase II complex component"
"141" "ENSG00000006740" "ARHGAP44" "Rho GTPase activating protein 44"
"142" "ENSG00000006744" "ELAC2" "elaC ribonuclease Z 2"
"143" "ENSG00000006747" "SCIN" "scinderin"
"144" "ENSG00000006756" "ARSD" "arylsulfatase D"
"145" "ENSG00000006757" "PNPLA4" "patatin like phospholipase domain containing 4"
"146" "ENSG00000006831" "ADIPOR2" "adiponectin receptor 2"
"147" "ENSG00000006837" "CDKL3" "cyclin dependent kinase like 3"
"148" "ENSG00000007001" "UPP2" "uridine phosphorylase 2"
"150" "ENSG00000007062" "PROM1" "prominin 1"
"151" "ENSG00000007080" "CCDC124" "coiled-coil domain containing 124"
"152" "ENSG00000007129" "CEACAM21" "CEA cell adhesion molecule 21"
"154" "ENSG00000007171" "NOS2" "nitric oxide synthase 2"
"155" "ENSG00000007174" "DNAH9" "dynein axonemal heavy chain 9"
"156" "ENSG00000007202" "KIAA0100" "KIAA0100"
"157" "ENSG00000007216" "SLC13A2" "solute carrier family 13 member 2"
"158" "ENSG00000007237" "GAS7" "growth arrest specific 7"
"159" "ENSG00000007255" "TRAPPC6A" "trafficking protein particle complex 6A"
"160" "ENSG00000007264" "MATK" "megakaryocyte-associated tyrosine kinase"
"161" "ENSG00000007306" "CEACAM7" "CEA cell adhesion molecule 7"
"162" "ENSG00000007341" "ST7L" "suppression of tumorigenicity 7 like"
"163" "ENSG00000007350" "TKTL1" "transketolase like 1"
"164" "ENSG00000007372" "PAX6" "paired box 6"
"165" "ENSG00000007376" "RPUSD1" "RNA pseudouridine synthase domain containing 1"
"166" "ENSG00000007384" "RHBDF1" "rhomboid 5 homolog 1"
"167" "ENSG00000007392" "LUC7L" "LUC7 like"
"168" "ENSG00000007402" "CACNA2D2" "calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"169" "ENSG00000007516" "BAIAP3" "BAI1 associated protein 3"
"170" "ENSG00000007520" "TSR3" "TSR3 ribosome maturation factor"
"171" "ENSG00000007541" "PIGQ" "phosphatidylinositol glycan anchor biosynthesis class Q"
"172" "ENSG00000007545" "CRAMP1" "cramped chromatin regulator homolog 1"
"173" "ENSG00000007866" "TEAD3" "TEA domain transcription factor 3"
"174" "ENSG00000007923" "DNAJC11" "DnaJ heat shock protein family (Hsp40) member C11"
"175" "ENSG00000007933" "FMO3" "flavin containing dimethylaniline monoxygenase 3"
"176" "ENSG00000007944" "MYLIP" "myosin regulatory light chain interacting protein"
"177" "ENSG00000007952" "NOX1" "NADPH oxidase 1"
"178" "ENSG00000007968" "E2F2" "E2F transcription factor 2"
"179" "ENSG00000008018" "PSMB1" "proteasome 20S subunit beta 1"
"182" "ENSG00000008118" "CAMK1G" "calcium/calmodulin dependent protein kinase IG"
"183" "ENSG00000008128" "CDK11A" "cyclin dependent kinase 11A"
"184" "ENSG00000008130" "NADK" "NAD kinase"
"185" "ENSG00000008226" "DLEC1" "DLEC1 cilia and flagella associated protein"
"186" "ENSG00000008256" "CYTH3" "cytohesin 3"
"187" "ENSG00000008277" "ADAM22" "ADAM metallopeptidase domain 22"
"188" "ENSG00000008282" "SYPL1" "synaptophysin like 1"
"189" "ENSG00000008283" "CYB561" "cytochrome b561"
"191" "ENSG00000008300" "CELSR3" "cadherin EGF LAG seven-pass G-type receptor 3"
"192" "ENSG00000008311" "AASS" "aminoadipate-semialdehyde synthase"
"193" "ENSG00000008323" "PLEKHG6" "pleckstrin homology and RhoGEF domain containing G6"
"195" "ENSG00000008382" "MPND" "MPN domain containing"
"196" "ENSG00000008394" "MGST1" "microsomal glutathione S-transferase 1"
"198" "ENSG00000008438" "PGLYRP1" "peptidoglycan recognition protein 1"
"199" "ENSG00000008441" "NFIX" "nuclear factor I X"
"200" "ENSG00000008513" "ST3GAL1" "ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"201" "ENSG00000008516" "MMP25" "matrix metallopeptidase 25"
"202" "ENSG00000008517" "IL32" "interleukin 32"
"203" "ENSG00000008710" "PKD1" "polycystin 1, transient receptor potential channel interacting"
"204" "ENSG00000008735" "MAPK8IP2" "mitogen-activated protein kinase 8 interacting protein 2"
"206" "ENSG00000008853" "RHOBTB2" "Rho related BTB domain containing 2"
"212" "ENSG00000009413" "REV3L" "REV3 like, DNA directed polymerase zeta catalytic subunit"
"213" "ENSG00000009694" "TENM1" "teneurin transmembrane protein 1"
"214" "ENSG00000009709" "PAX7" "paired box 7"
"215" "ENSG00000009724" "MASP2" "mannan binding lectin serine peptidase 2"
"216" "ENSG00000009765" "IYD" "iodotyrosine deiodinase"
"218" "ENSG00000009790" "TRAF3IP3" "TRAF3 interacting protein 3"
"219" "ENSG00000009830" "POMT2" "protein O-mannosyltransferase 2"
"221" "ENSG00000009950" "MLXIPL" "MLX interacting protein like"
"224" "ENSG00000010030" "ETV7" "ETS variant transcription factor 7"
"226" "ENSG00000010165" "EEF1AKNMT" "eEF1A lysine and N-terminal methyltransferase"
"227" "ENSG00000010219" "DYRK4" "dual specificity tyrosine phosphorylation regulated kinase 4"
"231" "ENSG00000010278" "CD9" "CD9 molecule"
"232" "ENSG00000010282" "HHATL" "hedgehog acyltransferase like"
"233" "ENSG00000010292" "NCAPD2" "non-SMC condensin I complex subunit D2"
"234" "ENSG00000010295" "IFFO1" "intermediate filament family orphan 1"
"235" "ENSG00000010310" "GIPR" "gastric inhibitory polypeptide receptor"
"236" "ENSG00000010318" "PHF7" "PHD finger protein 7"
"238" "ENSG00000010327" "STAB1" "stabilin 1"
"239" "ENSG00000010361" "FUZ" "fuzzy planar cell polarity protein"
"240" "ENSG00000010379" "SLC6A13" "solute carrier family 6 member 13"
"242" "ENSG00000010539" "ZNF200" "zinc finger protein 200"
"243" "ENSG00000010610" "CD4" "CD4 molecule"
"244" "ENSG00000010626" "LRRC23" "leucine rich repeat containing 23"
"245" "ENSG00000010671" "BTK" "Bruton tyrosine kinase"
"246" "ENSG00000010704" "HFE" "homeostatic iron regulator"
"248" "ENSG00000010810" "FYN" "FYN proto-oncogene, Src family tyrosine kinase"
"249" "ENSG00000010818" "HIVEP2" "HIVEP zinc finger 2"
"250" "ENSG00000010932" "FMO1" "flavin containing dimethylaniline monoxygenase 1"
"252" "ENSG00000011009" "LYPLA2" "lysophospholipase 2"
"253" "ENSG00000011021" "CLCN6" "chloride voltage-gated channel 6"
"254" "ENSG00000011028" "MRC2" "mannose receptor C type 2"
"255" "ENSG00000011105" "TSPAN9" "tetraspanin 9"
"256" "ENSG00000011114" "BTBD7" "BTB domain containing 7"
"257" "ENSG00000011132" "APBA3" "amyloid beta precursor protein binding family A member 3"
"258" "ENSG00000011143" "MKS1" "MKS transition zone complex subunit 1"
"260" "ENSG00000011201" "ANOS1" "anosmin 1"
"261" "ENSG00000011243" "AKAP8L" "A-kinase anchoring protein 8 like"
"262" "ENSG00000011258" "MBTD1" "mbt domain containing 1"
"263" "ENSG00000011260" "UTP18" "UTP18 small subunit processome component"
"264" "ENSG00000011275" "RNF216" "ring finger protein 216"
"265" "ENSG00000011295" "TTC19" "tetratricopeptide repeat domain 19"
"267" "ENSG00000011332" "DPF1" "double PHD fingers 1"
"268" "ENSG00000011347" "SYT7" "synaptotagmin 7"
"269" "ENSG00000011376" "LARS2" "leucyl-tRNA synthetase 2, mitochondrial"
"271" "ENSG00000011422" "PLAUR" "plasminogen activator, urokinase receptor"
"272" "ENSG00000011426" "ANLN" "anillin actin binding protein"
"275" "ENSG00000011465" "DCN" "decorin"
"276" "ENSG00000011478" "QPCTL" "glutaminyl-peptide cyclotransferase like"
"277" "ENSG00000011485" "PPP5C" "protein phosphatase 5 catalytic subunit"
"278" "ENSG00000011523" "CEP68" "centrosomal protein 68"
"279" "ENSG00000011566" "MAP4K3" "mitogen-activated protein kinase kinase kinase kinase 3"
"280" "ENSG00000011590" "ZBTB32" "zinc finger and BTB domain containing 32"
"281" "ENSG00000011600" "TYROBP" "TYRO protein tyrosine kinase binding protein"
"282" "ENSG00000011638" "TMEM159" "transmembrane protein 159"
"283" "ENSG00000012048" "BRCA1" "BRCA1 DNA repair associated"
"285" "ENSG00000012124" "CD22" "CD22 molecule"
"286" "ENSG00000012171" "SEMA3B" "semaphorin 3B"
"287" "ENSG00000012174" "MBTPS2" "membrane bound transcription factor peptidase, site 2"
"288" "ENSG00000012211" "PRICKLE3" "prickle planar cell polarity protein 3"
"289" "ENSG00000012223" "LTF" "lactotransferrin"
"290" "ENSG00000012232" "EXTL3" "exostosin like glycosyltransferase 3"
"292" "ENSG00000012779" "ALOX5" "arachidonate 5-lipoxygenase"
"293" "ENSG00000012817" "KDM5D" "lysine demethylase 5D"
"294" "ENSG00000012822" "CALCOCO1" "calcium binding and coiled-coil domain 1"
"299" "ENSG00000013288" "MAN2B2" "mannosidase alpha class 2B member 2"
"300" "ENSG00000013293" "SLC7A14" "solute carrier family 7 member 14"
"305" "ENSG00000013375" "PGM3" "phosphoglucomutase 3"
"306" "ENSG00000013392" "RWDD2A" "RWD domain containing 2A"
"308" "ENSG00000013503" "POLR3B" "RNA polymerase III subunit B"
"309" "ENSG00000013523" "ANGEL1" "angel homolog 1"
"311" "ENSG00000013563" "DNASE1L1" "deoxyribonuclease 1 like 1"
"312" "ENSG00000013573" "DDX11" "DEAD/H-box helicase 11"
"313" "ENSG00000013583" "HEBP1" "heme binding protein 1"
"314" "ENSG00000013588" "GPRC5A" "G protein-coupled receptor class C group 5 member A"
"315" "ENSG00000013619" "MAMLD1" "mastermind like domain containing 1"
"316" "ENSG00000013725" "CD6" "CD6 molecule"
"317" "ENSG00000013810" "TACC3" "transforming acidic coiled-coil containing protein 3"
"318" "ENSG00000014123" "UFL1" "UFM1 specific ligase 1"
"319" "ENSG00000014138" "POLA2" "DNA polymerase alpha 2, accessory subunit"
"320" "ENSG00000014164" "ZC3H3" "zinc finger CCCH-type containing 3"
"322" "ENSG00000014257" "ACPP" "acid phosphatase, prostate"
"323" "ENSG00000014824" "SLC30A9" "solute carrier family 30 member 9"
"324" "ENSG00000014914" "MTMR11" "myotubularin related protein 11"
"325" "ENSG00000014919" "COX15" "cytochrome c oxidase assembly homolog COX15"
"326" "ENSG00000015133" "CCDC88C" "coiled-coil domain containing 88C"
"328" "ENSG00000015171" "ZMYND11" "zinc finger MYND-type containing 11"
"329" "ENSG00000015285" "WAS" "WASP actin nucleation promoting factor"
"330" "ENSG00000015475" "BID" "BH3 interacting domain death agonist"
"332" "ENSG00000015532" "XYLT2" "xylosyltransferase 2"
"333" "ENSG00000015568" "RGPD5" "RANBP2 like and GRIP domain containing 5"
"334" "ENSG00000015592" "STMN4" "stathmin 4"
"336" "ENSG00000016082" "ISL1" "ISL LIM homeobox 1"
"337" "ENSG00000016391" "CHDH" "choline dehydrogenase"
"338" "ENSG00000016402" "IL20RA" "interleukin 20 receptor subunit alpha"
"339" "ENSG00000016602" "CLCA4" "chloride channel accessory 4"
"340" "ENSG00000016864" "GLT8D1" "glycosyltransferase 8 domain containing 1"
"342" "ENSG00000017427" "IGF1" "insulin like growth factor 1"
"343" "ENSG00000017483" "SLC38A5" "solute carrier family 38 member 5"
"346" "ENSG00000018236" "CNTN1" "contactin 1"
"347" "ENSG00000018280" "SLC11A1" "solute carrier family 11 member 1"
"348" "ENSG00000018408" "WWTR1" "WW domain containing transcription regulator 1"
"350" "ENSG00000018610" "CXorf56" "chromosome X open reading frame 56"
"351" "ENSG00000018699" "TTC27" "tetratricopeptide repeat domain 27"
"352" "ENSG00000018869" "ZNF582" "zinc finger protein 582"
"353" "ENSG00000019102" "VSIG2" "V-set and immunoglobulin domain containing 2"
"354" "ENSG00000019144" "PHLDB1" "pleckstrin homology like domain family B member 1"
"355" "ENSG00000019186" "CYP24A1" "cytochrome P450 family 24 subfamily A member 1"
"356" "ENSG00000019485" "PRDM11" "PR/SET domain 11"
"357" "ENSG00000019505" "SYT13" "synaptotagmin 13"
"358" "ENSG00000019549" "SNAI2" "snail family transcriptional repressor 2"
"360" "ENSG00000019991" "HGF" "hepatocyte growth factor"
"361" "ENSG00000019995" "ZRANB1" "zinc finger RANBP2-type containing 1"
"362" "ENSG00000020129" "NCDN" "neurochondrin"
"363" "ENSG00000020181" "ADGRA2" "adhesion G protein-coupled receptor A2"
"364" "ENSG00000020256" "ZFP64" "ZFP64 zinc finger protein"
"365" "ENSG00000020426" "MNAT1" "MNAT1 component of CDK activating kinase"
"367" "ENSG00000020633" "RUNX3" "RUNX family transcription factor 3"
"368" "ENSG00000020922" "MRE11" "MRE11 homolog, double strand break repair nuclease"
"369" "ENSG00000021300" "PLEKHB1" "pleckstrin homology domain containing B1"
"370" "ENSG00000021355" "SERPINB1" "serpin family B member 1"
"371" "ENSG00000021461" "CYP3A43" "cytochrome P450 family 3 subfamily A member 43"
"372" "ENSG00000021488" "SLC7A9" "solute carrier family 7 member 9"
"374" "ENSG00000021645" "NRXN3" "neurexin 3"
"375" "ENSG00000021762" "OSBPL5" "oxysterol binding protein like 5"
"377" "ENSG00000021826" "CPS1" "carbamoyl-phosphate synthase 1"
"378" "ENSG00000022267" "FHL1" "four and a half LIM domains 1"
"380" "ENSG00000022355" "GABRA1" "gamma-aminobutyric acid type A receptor alpha1 subunit"
"381" "ENSG00000022556" "NLRP2" "NLR family pyrin domain containing 2"
"382" "ENSG00000022567" "SLC45A4" "solute carrier family 45 member 4"
"385" "ENSG00000023041" "ZDHHC6" "zinc finger DHHC-type containing 6"
"386" "ENSG00000023171" "GRAMD1B" "GRAM domain containing 1B"
"391" "ENSG00000023330" "ALAS1" "5'-aminolevulinate synthase 1"
"392" "ENSG00000023445" "BIRC3" "baculoviral IAP repeat containing 3"
"394" "ENSG00000023572" "GLRX2" "glutaredoxin 2"
"395" "ENSG00000023608" "SNAPC1" "small nuclear RNA activating complex polypeptide 1"
"398" "ENSG00000023839" "ABCC2" "ATP binding cassette subfamily C member 2"
"399" "ENSG00000023892" "DEF6" "DEF6 guanine nucleotide exchange factor"
"400" "ENSG00000023902" "PLEKHO1" "pleckstrin homology domain containing O1"
"403" "ENSG00000024422" "EHD2" "EH domain containing 2"
"404" "ENSG00000024526" "DEPDC1" "DEP domain containing 1"
"405" "ENSG00000024862" "CCDC28A" "coiled-coil domain containing 28A"
"407" "ENSG00000025156" "HSF2" "heat shock transcription factor 2"
"409" "ENSG00000025434" "NR1H3" "nuclear receptor subfamily 1 group H member 3"
"410" "ENSG00000025708" "TYMP" "thymidine phosphorylase"
"411" "ENSG00000025770" "NCAPH2" "non-SMC condensin II complex subunit H2"
"412" "ENSG00000025772" "TOMM34" "translocase of outer mitochondrial membrane 34"
"413" "ENSG00000025796" "SEC63" "SEC63 homolog, protein translocation regulator"
"415" "ENSG00000026025" "VIM" "vimentin"
"416" "ENSG00000026036" "RTEL1-TNFRSF6B" "RTEL1-TNFRSF6B readthrough (NMD candidate)"
"418" "ENSG00000026297" "RNASET2" "ribonuclease T2"
"419" "ENSG00000026508" "CD44" "CD44 molecule (Indian blood group)"
"420" "ENSG00000026559" "KCNG1" "potassium voltage-gated channel modifier subfamily G member 1"
"421" "ENSG00000026652" "AGPAT4" "1-acylglycerol-3-phosphate O-acyltransferase 4"
"422" "ENSG00000026751" "SLAMF7" "SLAM family member 7"
"423" "ENSG00000026950" "BTN3A1" "butyrophilin subfamily 3 member A1"
"424" "ENSG00000027001" "MIPEP" "mitochondrial intermediate peptidase"
"425" "ENSG00000027075" "PRKCH" "protein kinase C eta"
"426" "ENSG00000027697" "IFNGR1" "interferon gamma receptor 1"
"427" "ENSG00000027847" "B4GALT7" "beta-1,4-galactosyltransferase 7"
"428" "ENSG00000027869" "SH2D2A" "SH2 domain containing 2A"
"430" "ENSG00000028137" "TNFRSF1B" "TNF receptor superfamily member 1B"
"432" "ENSG00000028277" "POU2F2" "POU class 2 homeobox 2"
"433" "ENSG00000028310" "BRD9" "bromodomain containing 9"
"435" "ENSG00000028839" "TBPL1" "TATA-box binding protein like 1"
"439" "ENSG00000029534" "ANK1" "ankyrin 1"
"440" "ENSG00000029639" "TFB1M" "transcription factor B1, mitochondrial"
"442" "ENSG00000029993" "HMGB3" "high mobility group box 3"
"445" "ENSG00000030304" "MUSK" "muscle associated receptor tyrosine kinase"
"446" "ENSG00000030419" "IKZF2" "IKAROS family zinc finger 2"
"449" "ENSG00000031081" "ARHGAP31" "Rho GTPase activating protein 31"
"450" "ENSG00000031691" "CENPQ" "centromere protein Q"
"454" "ENSG00000032389" "EIPR1" "EARP complex and GARP complex interacting protein 1"
"455" "ENSG00000032444" "PNPLA6" "patatin like phospholipase domain containing 6"
"456" "ENSG00000032742" "IFT88" "intraflagellar transport 88"
"457" "ENSG00000033011" "ALG1" "ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase"
"458" "ENSG00000033030" "ZCCHC8" "zinc finger CCHC-type containing 8"
"459" "ENSG00000033050" "ABCF2" "ATP binding cassette subfamily F member 2"
"460" "ENSG00000033100" "CHPF2" "chondroitin polymerizing factor 2"
"461" "ENSG00000033122" "LRRC7" "leucine rich repeat containing 7"
"464" "ENSG00000033327" "GAB2" "GRB2 associated binding protein 2"
"465" "ENSG00000033627" "ATP6V0A1" "ATPase H+ transporting V0 subunit a1"
"466" "ENSG00000033800" "PIAS1" "protein inhibitor of activated STAT 1"
"467" "ENSG00000033867" "SLC4A7" "solute carrier family 4 member 7"
"468" "ENSG00000034053" "APBA2" "amyloid beta precursor protein binding family A member 2"
"469" "ENSG00000034152" "MAP2K3" "mitogen-activated protein kinase kinase 3"
"470" "ENSG00000034239" "EFCAB1" "EF-hand calcium binding domain 1"
"472" "ENSG00000034533" "ASTE1" "asteroid homolog 1"
"474" "ENSG00000034693" "PEX3" "peroxisomal biogenesis factor 3"
"475" "ENSG00000034713" "GABARAPL2" "GABA type A receptor associated protein like 2"
"476" "ENSG00000035115" "SH3YL1" "SH3 and SYLF domain containing 1"
"477" "ENSG00000035141" "FAM136A" "family with sequence similarity 136 member A"
"479" "ENSG00000035499" "DEPDC1B" "DEP domain containing 1B"
"480" "ENSG00000035664" "DAPK2" "death associated protein kinase 2"
"481" "ENSG00000035681" "NSMAF" "neutral sphingomyelinase activation associated factor"
"483" "ENSG00000035720" "STAP1" "signal transducing adaptor family member 1"
"484" "ENSG00000035862" "TIMP2" "TIMP metallopeptidase inhibitor 2"
"488" "ENSG00000036448" "MYOM2" "myomesin 2"
"489" "ENSG00000036530" "CYP46A1" "cytochrome P450 family 46 subfamily A member 1"
"490" "ENSG00000036549" "ZZZ3" "zinc finger ZZ-type containing 3"
"491" "ENSG00000036565" "SLC18A1" "solute carrier family 18 member A1"
"492" "ENSG00000036672" "USP2" "ubiquitin specific peptidase 2"
"493" "ENSG00000036828" "CASR" "calcium sensing receptor"
"494" "ENSG00000037042" "TUBG2" "tubulin gamma 2"
"496" "ENSG00000037280" "FLT4" "fms related tyrosine kinase 4"
"498" "ENSG00000037637" "FBXO42" "F-box protein 42"
"499" "ENSG00000037749" "MFAP3" "microfibril associated protein 3"
"500" "ENSG00000037757" "MRI1" "methylthioribose-1-phosphate isomerase 1"
"501" "ENSG00000037897" "METTL1" "methyltransferase like 1"
"502" "ENSG00000038002" "AGA" "aspartylglucosaminidase"
"506" "ENSG00000038295" "TLL1" "tolloid like 1"
"507" "ENSG00000038358" "EDC4" "enhancer of mRNA decapping 4"
"509" "ENSG00000038427" "VCAN" "versican"
"510" "ENSG00000038532" "CLEC16A" "C-type lectin domain containing 16A"
"514" "ENSG00000039139" "DNAH5" "dynein axonemal heavy chain 5"
"515" "ENSG00000039319" "ZFYVE16" "zinc finger FYVE-type containing 16"
"517" "ENSG00000039560" "RAI14" "retinoic acid induced 14"
"518" "ENSG00000039650" "PNKP" "polynucleotide kinase 3'-phosphatase"
"519" "ENSG00000039987" "BEST2" "bestrophin 2"
"521" "ENSG00000040275" "SPDL1" "spindle apparatus coiled-coil protein 1"
"523" "ENSG00000040487" "SLC66A1" "solute carrier family 66 member 1"
"527" "ENSG00000041353" "RAB27B" "RAB27B, member RAS oncogene family"
"529" "ENSG00000041515" "MYO16" "myosin XVI"
"532" "ENSG00000041982" "TNC" "tenascin C"
"533" "ENSG00000041988" "THAP3" "THAP domain containing 3"
"534" "ENSG00000042062" "RIPOR3" "RIPOR family member 3"
"535" "ENSG00000042088" "TDP1" "tyrosyl-DNA phosphodiesterase 1"
"536" "ENSG00000042286" "AIFM2" "apoptosis inducing factor mitochondria associated 2"
"537" "ENSG00000042304" "C2orf83" "chromosome 2 open reading frame 83"
"538" "ENSG00000042317" "SPATA7" "spermatogenesis associated 7"
"539" "ENSG00000042429" "MED17" "mediator complex subunit 17"
"542" "ENSG00000042753" "AP2S1" "adaptor related protein complex 2 subunit sigma 1"
