"PrimaryID","ENSEMBL","SYMBOL","ENTREZID","REFSEQ","GENENAME"
"ENSG00000005243","ENSG00000005243","COPZ2","51226","NM_016429","coatomer protein complex subunit zeta 2"
"ENSG00000005249","ENSG00000005249","PRKAR2B","5577","NM_002736","protein kinase cAMP-dependent type II regulatory subunit beta"
"ENSG00000005302","ENSG00000005302","MSL3","10943","NM_001193270","MSL complex subunit 3"
"ENSG00000005339","ENSG00000005339","CREBBP","1387","NM_001079846","CREB binding protein"
"ENSG00000005381","ENSG00000005381","MPO","4353","NM_000250","myeloperoxidase"
"ENSG00000005421","ENSG00000005421","PON1","5444","NM_000446","paraoxonase 1"
"ENSG00000005436","ENSG00000005436","GCFC2","6936","NM_001201334","GC-rich sequence DNA-binding factor 2"
"ENSG00000005448","ENSG00000005448","WDR54","84058","NM_001320823","WD repeat domain 54"
"ENSG00000005469","ENSG00000005469","CROT","54677","NM_001143935","carnitine O-octanoyltransferase"
"ENSG00000005471","ENSG00000005471","ABCB4","5244","NM_000443","ATP binding cassette subfamily B member 4"
"ENSG00000005486","ENSG00000005486","RHBDD2","57414","NM_001040456","rhomboid domain containing 2"
"ENSG00000005513","ENSG00000005513","SOX8","30812","NM_014587","SRY-box 8"
"ENSG00000005700","ENSG00000005700","IBTK","25998","NM_001300906","inhibitor of Bruton tyrosine kinase"
"ENSG00000005801","ENSG00000005801","ZNF195","7748","NM_001130519","zinc finger protein 195"
"ENSG00000005810","ENSG00000005810","MYCBP2","23077","NM_015057","MYC binding protein 2, E3 ubiquitin protein ligase"
"ENSG00000005812","ENSG00000005812","FBXL3","26224","NM_012158","F-box and leucine rich repeat protein 3"
"ENSG00000005844","ENSG00000005844","ITGAL","3683","NM_001114380","integrin subunit alpha L"
"ENSG00000005882","ENSG00000005882","PDK2","5164","NM_001199898","pyruvate dehydrogenase kinase 2"
"ENSG00000005884","ENSG00000005884","ITGA3","3675","NM_002204","integrin subunit alpha 3"
"ENSG00000005889","ENSG00000005889","ZFX","7543","NM_001178084","zinc finger protein X-linked"
"ENSG00000005893","ENSG00000005893","LAMP2","3920","NM_001122606","lysosomal associated membrane protein 2"
"ENSG00000005961","ENSG00000005961","ITGA2B","3674","NM_000419","integrin subunit alpha 2b"
"ENSG00000005981","ENSG00000005981","ASB4","51666","NM_016116","ankyrin repeat and SOCS box containing 4"
"ENSG00000006007","ENSG00000006007","GDE1","51573","NM_001324066","glycerophosphodiester phosphodiesterase 1"
"ENSG00000006016","ENSG00000006016","CRLF1","9244","NM_004750","cytokine receptor like factor 1"
"ENSG00000006025","ENSG00000006025","OSBPL7","114881","NM_017731","oxysterol binding protein like 7"
"ENSG00000006042","ENSG00000006042","TMEM98","26022","NM_001033504","transmembrane protein 98"
"ENSG00000006047","ENSG00000006047","YBX2","51087","NM_015982","Y-box binding protein 2"
"ENSG00000006059","ENSG00000006059","KRT33A","3883","NM_004138","keratin 33A"
"ENSG00000006062","ENSG00000006062","MAP3K14","9020","NM_003954","mitogen-activated protein kinase kinase kinase 14"
"ENSG00000006071","ENSG00000006071","ABCC8","6833","NM_000352","ATP binding cassette subfamily C member 8"
"ENSG00000006116","ENSG00000006116","CACNG3","10368","NM_006539","calcium voltage-gated channel auxiliary subunit gamma 3"
"ENSG00000006118","ENSG00000006118","TMEM132A","54972","NM_017870","transmembrane protein 132A"
"ENSG00000006125","ENSG00000006125","AP2B1","163","NM_001030006","adaptor related protein complex 2 subunit beta 1"
"ENSG00000006128","ENSG00000006128","TAC1","6863","NM_003182","tachykinin precursor 1"
"ENSG00000006194","ENSG00000006194","ZNF263","10127","NM_005741","zinc finger protein 263"
"ENSG00000006210","ENSG00000006210","CX3CL1","6376","NM_001304392","C-X3-C motif chemokine ligand 1"
"ENSG00000006282","ENSG00000006282","SPATA20","64847","NM_001258372","spermatogenesis associated 20"
"ENSG00000006283","ENSG00000006283","CACNA1G","8913","NM_001256324","calcium voltage-gated channel subunit alpha1 G"
"ENSG00000006327","ENSG00000006327","TNFRSF12A","51330","NM_016639","TNF receptor superfamily member 12A"
"ENSG00000006377","ENSG00000006377","DLX6","1750","NM_005222","distal-less homeobox 6"
"ENSG00000006432","ENSG00000006432","MAP3K9","4293","NM_001284230","mitogen-activated protein kinase kinase kinase 9"
"ENSG00000006451","ENSG00000006451","RALA","5898","NM_005402","RAS like proto-oncogene A"
"ENSG00000006453","ENSG00000006453","BAIAP2L1","55971","NM_018842","BAI1 associated protein 2 like 1"
"ENSG00000006468","ENSG00000006468","ETV1","2115","NM_001163147","ETS variant 1"
"ENSG00000006530","ENSG00000006530","AGK","55750","NM_001364948","acylglycerol kinase"
"ENSG00000006534","ENSG00000006534","ALDH3B1","221","NM_000694","aldehyde dehydrogenase 3 family member B1"
"ENSG00000006555","ENSG00000006555","TTC22","55001","NM_001114108","tetratricopeptide repeat domain 22"
"ENSG00000006576","ENSG00000006576","PHTF2","57157","NM_001127357","putative homeodomain transcription factor 2"
"ENSG00000006606","ENSG00000006606","CCL26","10344","NM_006072","C-C motif chemokine ligand 26"
"ENSG00000006607","ENSG00000006607","FARP2","9855","NM_001282983","FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"ENSG00000006611","ENSG00000006611","USH1C","10083","NM_001297764","USH1 protein network component harmonin"
"ENSG00000006625","ENSG00000006625","GGCT","79017","NM_001199815","gamma-glutamylcyclotransferase"
"ENSG00000006634","ENSG00000006634","DBF4","10926","NM_001318060","DBF4 zinc finger"
"ENSG00000006638","ENSG00000006638","TBXA2R","6915","NM_001060","thromboxane A2 receptor"
"ENSG00000006652","ENSG00000006652","IFRD1","3475","NM_001007245","interferon related developmental regulator 1"
"ENSG00000006659","ENSG00000006659","LGALS14","56891","NM_020129","galectin 14"
"ENSG00000006695","ENSG00000006695","COX10","1352","NM_001303","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"ENSG00000006704","ENSG00000006704","GTF2IRD1","9569","NM_001199207","GTF2I repeat domain containing 1"
"ENSG00000006712","ENSG00000006712","PAF1","54623","NM_001256826","PAF1 homolog, Paf1/RNA polymerase II complex component"
"ENSG00000006715","ENSG00000006715","VPS41","27072","NM_014396","VPS41, HOPS complex subunit"
"ENSG00000006740","ENSG00000006740","ARHGAP44","9912","NM_001321164","Rho GTPase activating protein 44"
"ENSG00000006744","ENSG00000006744","ELAC2","60528","NM_001165962","elaC ribonuclease Z 2"
"ENSG00000006747","ENSG00000006747","SCIN","85477","NM_001112706","scinderin"
"ENSG00000006756","ENSG00000006756","ARSD","414","NM_001669","arylsulfatase D"
"ENSG00000006757","ENSG00000006757","PNPLA4","8228","NM_001142389","patatin like phospholipase domain containing 4"
"ENSG00000006788","ENSG00000006788","MYH13","8735","NM_003802","myosin heavy chain 13"
"ENSG00000006831","ENSG00000006831","ADIPOR2","79602","NM_024551","adiponectin receptor 2"
"ENSG00000006837","ENSG00000006837","CDKL3","51265","NM_001113575","cyclin dependent kinase like 3"
"ENSG00000007001","ENSG00000007001","UPP2","151531","NM_001135098","uridine phosphorylase 2"
"ENSG00000007038","ENSG00000007038","PRSS21","10942","NM_001270452","serine protease 21"
"ENSG00000007047","ENSG00000007047","MARK4","57787","NM_001199867","microtubule affinity regulating kinase 4"
"ENSG00000007062","ENSG00000007062","PROM1","8842","NM_001145847","prominin 1"
"ENSG00000007080","ENSG00000007080","CCDC124","115098","NM_001136203","coiled-coil domain containing 124"
"ENSG00000007129","ENSG00000007129","CEACAM21","90273","NM_001098506","carcinoembryonic antigen related cell adhesion molecule 21"
"ENSG00000007168","ENSG00000007168","PAFAH1B1","5048","NM_000430","platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"ENSG00000007171","ENSG00000007171","NOS2","4843","NM_000625","nitric oxide synthase 2"
"ENSG00000007174","ENSG00000007174","DNAH9","1770","NM_001372","dynein axonemal heavy chain 9"
"ENSG00000007202","ENSG00000007202","KIAA0100","9703","NM_001321560","KIAA0100"
"ENSG00000007216","ENSG00000007216","SLC13A2","9058","NM_001145975","solute carrier family 13 member 2"
"ENSG00000007237","ENSG00000007237","GAS7","8522","NM_001130831","growth arrest specific 7"
"ENSG00000007255","ENSG00000007255","TRAPPC6A","79090","NM_001270891","trafficking protein particle complex 6A"
"ENSG00000007264","ENSG00000007264","MATK","4145","NM_002378","megakaryocyte-associated tyrosine kinase"
"ENSG00000007306","ENSG00000007306","CEACAM7","1087","NM_001291485","carcinoembryonic antigen related cell adhesion molecule 7"
"ENSG00000007312","ENSG00000007312","CD79B","974","NM_000626","CD79b molecule"
"ENSG00000007314","ENSG00000007314","SCN4A","6329","NM_000334","sodium voltage-gated channel alpha subunit 4"
"ENSG00000007341","ENSG00000007341","ST7L","54879","NM_001308264","suppression of tumorigenicity 7 like"
"ENSG00000007350","ENSG00000007350","TKTL1","8277","NM_001145933","transketolase like 1"
"ENSG00000007372","ENSG00000007372","PAX6","5080","NM_000280","paired box 6"
"ENSG00000007376","ENSG00000007376","RPUSD1","113000","NM_001324086","RNA pseudouridine synthase domain containing 1"
"ENSG00000007384","ENSG00000007384","RHBDF1","64285","NM_022450","rhomboid 5 homolog 1"
"ENSG00000007392","ENSG00000007392","LUC7L","55692","NM_001320226","LUC7 like"
"ENSG00000007402","ENSG00000007402","CACNA2D2","9254","NM_001005505","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"ENSG00000007516","ENSG00000007516","BAIAP3","8938","NM_001199096","BAI1 associated protein 3"
"ENSG00000007520","ENSG00000007520","TSR3","115939","NM_001001410","TSR3, acp transferase ribosome maturation factor"
"ENSG00000007541","ENSG00000007541","PIGQ","9091","NM_004204","phosphatidylinositol glycan anchor biosynthesis class Q"
"ENSG00000007866","ENSG00000007866","TEAD3","7005","NM_003214","TEA domain transcription factor 3"
"ENSG00000007908","ENSG00000007908","SELE","6401","NM_000450","selectin E"
"ENSG00000007923","ENSG00000007923","DNAJC11","55735","NM_018198","DnaJ heat shock protein family (Hsp40) member C11"
"ENSG00000007933","ENSG00000007933","FMO3","2328","NM_001002294","flavin containing monooxygenase 3"
"ENSG00000007944","ENSG00000007944","MYLIP","29116","NM_013262","myosin regulatory light chain interacting protein"
"ENSG00000007952","ENSG00000007952","NOX1","27035","NM_001271815","NADPH oxidase 1"
"ENSG00000007968","ENSG00000007968","E2F2","1870","NM_004091","E2F transcription factor 2"
"ENSG00000008018","ENSG00000008018","PSMB1","5689","NM_002793","proteasome subunit beta 1"
"ENSG00000008056","ENSG00000008056","SYN1","6853","NM_006950","synapsin I"
"ENSG00000008083","ENSG00000008083","JARID2","3720","NM_001267040","jumonji and AT-rich interaction domain containing 2"
"ENSG00000008086","ENSG00000008086","CDKL5","6792","NM_001037343","cyclin dependent kinase like 5"
"ENSG00000008118","ENSG00000008118","CAMK1G","57172","NM_020439","calcium/calmodulin dependent protein kinase IG"
"ENSG00000008128","ENSG00000008128","CDK11A","728642","NM_001313896","cyclin dependent kinase 11A"
"ENSG00000008130","ENSG00000008130","NADK","65220","NM_001198993","NAD kinase"
"ENSG00000008196","ENSG00000008196","TFAP2B","7021","NM_003221","transcription factor AP-2 beta"
"ENSG00000008197","ENSG00000008197","TFAP2D","83741","NM_172238","transcription factor AP-2 delta"
"ENSG00000008226","ENSG00000008226","DLEC1","9940","NM_001321153","DLEC1, cilia and flagella associated protein"
"ENSG00000008256","ENSG00000008256","CYTH3","9265","NM_004227","cytohesin 3"
"ENSG00000008277","ENSG00000008277","ADAM22","53616","NM_001324417","ADAM metallopeptidase domain 22"
"ENSG00000008282","ENSG00000008282","SYPL1","6856","NM_006754","synaptophysin like 1"
"ENSG00000008283","ENSG00000008283","CYB561","1534","NM_001017916","cytochrome b561"
"ENSG00000008294","ENSG00000008294","SPAG9","9043","NM_001130527","sperm associated antigen 9"
"ENSG00000008300","ENSG00000008300","CELSR3","1951","NM_001407","cadherin EGF LAG seven-pass G-type receptor 3"
"ENSG00000008311","ENSG00000008311","AASS","10157","NM_005763","aminoadipate-semialdehyde synthase"
"ENSG00000008323","ENSG00000008323","PLEKHG6","55200","NM_001144856","pleckstrin homology and RhoGEF domain containing G6"
"ENSG00000008324","ENSG00000008324","SS18L2","51188","NM_016305","SS18 like 2"
"ENSG00000008382","ENSG00000008382","MPND","84954","NM_001159846","MPN domain containing"
"ENSG00000008394","ENSG00000008394","MGST1","4257","NM_001260511","microsomal glutathione S-transferase 1"
"ENSG00000008405","ENSG00000008405","CRY1","1407","NM_004075","cryptochrome circadian regulator 1"
"ENSG00000008438","ENSG00000008438","PGLYRP1","8993","NM_005091","peptidoglycan recognition protein 1"
"ENSG00000008441","ENSG00000008441","NFIX","4784","NM_001271043","nuclear factor I X"
"ENSG00000008513","ENSG00000008513","ST3GAL1","6482","NM_003033","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"ENSG00000008516","ENSG00000008516","MMP25","64386","NM_004142","matrix metallopeptidase 25"
"ENSG00000008517","ENSG00000008517","IL32","9235","NM_001012631","interleukin 32"
"ENSG00000008710","ENSG00000008710","PKD1","5310","NM_000296","polycystin 1, transient receptor potential channel interacting"
"ENSG00000008735","ENSG00000008735","MAPK8IP2","23542","NM_012324","mitogen-activated protein kinase 8 interacting protein 2"
"ENSG00000008838","ENSG00000008838","MED24","9862","NM_001079518","mediator complex subunit 24"
"ENSG00000008853","ENSG00000008853","RHOBTB2","23221","NM_001160036","Rho related BTB domain containing 2"
"ENSG00000008869","ENSG00000008869","HEATR5B","54497","NM_019024","HEAT repeat containing 5B"
"ENSG00000008952","ENSG00000008952","SEC62","7095","NM_003262","SEC62 homolog, preprotein translocation factor"
"ENSG00000008988","ENSG00000008988","RPS20","6224","NM_001023","ribosomal protein S20"
"ENSG00000009307","ENSG00000009307","CSDE1","7812","NM_001007553","cold shock domain containing E1"
"ENSG00000009335","ENSG00000009335","UBE3C","9690","NM_014671","ubiquitin protein ligase E3C"
"ENSG00000009413","ENSG00000009413","REV3L","5980","NM_001286431","REV3 like, DNA directed polymerase zeta catalytic subunit"
"ENSG00000009694","ENSG00000009694","TENM1","10178","NM_001163278","teneurin transmembrane protein 1"
"ENSG00000009709","ENSG00000009709","PAX7","5081","NM_001135254","paired box 7"
"ENSG00000009724","ENSG00000009724","MASP2","10747","NM_006610","mannan binding lectin serine peptidase 2"
"ENSG00000009765","ENSG00000009765","IYD","389434","NM_001164694","iodotyrosine deiodinase"
"ENSG00000009780","ENSG00000009780","FAM76A","199870","NM_001143912","family with sequence similarity 76 member A"
"ENSG00000009790","ENSG00000009790","TRAF3IP3","80342","NM_001287754","TRAF3 interacting protein 3"
"ENSG00000009830","ENSG00000009830","POMT2","29954","NM_013382","protein O-mannosyltransferase 2"
"ENSG00000009844","ENSG00000009844","VTA1","51534","NM_001286371","vesicle trafficking 1"
"ENSG00000009950","ENSG00000009950","MLXIPL","51085","NM_032951","MLX interacting protein like"
"ENSG00000009954","ENSG00000009954","BAZ1B","9031","NM_023005","bromodomain adjacent to zinc finger domain 1B"
"ENSG00000010017","ENSG00000010017","RANBP9","10048","NM_005493","RAN binding protein 9"
"ENSG00000010030","ENSG00000010030","ETV7","51513","NM_001207035","ETS variant 7"
"ENSG00000010072","ENSG00000010072","SPRTN","83932","NM_001010984","SprT-like N-terminal domain"
"ENSG00000010219","ENSG00000010219","DYRK4","8798","NM_001282285","dual specificity tyrosine phosphorylation regulated kinase 4"
"ENSG00000010244","ENSG00000010244","ZNF207","7756","NM_001032293","zinc finger protein 207"
"ENSG00000010256","ENSG00000010256","UQCRC1","7384","NM_003365","ubiquinol-cytochrome c reductase core protein 1"
"ENSG00000010270","ENSG00000010270","STARD3NL","83930","NM_001363339","STARD3 N-terminal like"
"ENSG00000010278","ENSG00000010278","CD9","928","NM_001330312","CD9 molecule"
"ENSG00000010282","ENSG00000010282","HHATL","57467","NM_020707","hedgehog acyltransferase like"
"ENSG00000010292","ENSG00000010292","NCAPD2","9918","NM_014865","non-SMC condensin I complex subunit D2"
"ENSG00000010295","ENSG00000010295","IFFO1","25900","NM_001039670","intermediate filament family orphan 1"
"ENSG00000010310","ENSG00000010310","GIPR","2696","NM_000164","gastric inhibitory polypeptide receptor"
"ENSG00000010318","ENSG00000010318","PHF7","51533","NM_001278221","PHD finger protein 7"
"ENSG00000010319","ENSG00000010319","SEMA3G","56920","NM_020163","semaphorin 3G"
"ENSG00000010322","ENSG00000010322","NISCH","11188","NM_001276293","nischarin"
"ENSG00000010327","ENSG00000010327","STAB1","23166","NM_015136","stabilin 1"
"ENSG00000010361","ENSG00000010361","FUZ","80199","NM_001171937","fuzzy planar cell polarity protein"
"ENSG00000010379","ENSG00000010379","SLC6A13","6540","NM_001190997","solute carrier family 6 member 13"
"ENSG00000010404","ENSG00000010404","IDS","3423","NM_000202","iduronate 2-sulfatase"
"ENSG00000010438","ENSG00000010438","PRSS3","5646","NM_001197097","serine protease 3"
"ENSG00000010539","ENSG00000010539","ZNF200","7752","NM_001145446","zinc finger protein 200"
"ENSG00000010610","ENSG00000010610","CD4","920","NM_000616","CD4 molecule"
"ENSG00000010626","ENSG00000010626","LRRC23","10233","NM_001135217","leucine rich repeat containing 23"
"ENSG00000010671","ENSG00000010671","BTK","695","NM_000061","Bruton tyrosine kinase"
"ENSG00000010704","ENSG00000010704","HFE","3077","NM_000410","homeostatic iron regulator"
"ENSG00000010803","ENSG00000010803","SCMH1","22955","NM_001031694","Scm polycomb group protein homolog 1"
"ENSG00000010810","ENSG00000010810","FYN","2534","NM_001242779","FYN proto-oncogene, Src family tyrosine kinase"
"ENSG00000010818","ENSG00000010818","HIVEP2","3097","NM_006734","human immunodeficiency virus type I enhancer binding protein 2"
"ENSG00000010932","ENSG00000010932","FMO1","2326","NM_001282692","flavin containing monooxygenase 1"
"ENSG00000011009","ENSG00000011009","LYPLA2","11313","NM_007260","lysophospholipase II"
"ENSG00000011021","ENSG00000011021","CLCN6","1185","NM_001256959","chloride voltage-gated channel 6"
"ENSG00000011028","ENSG00000011028","MRC2","9902","NM_006039","mannose receptor C type 2"
"ENSG00000011052","ENSG00000011052","NME1-NME2","654364","NM_001018136","NME1-NME2 readthrough"
"ENSG00000011083","ENSG00000011083","SLC6A7","6534","NM_014228","solute carrier family 6 member 7"
"ENSG00000011105","ENSG00000011105","TSPAN9","10867","NM_001168320","tetraspanin 9"
"ENSG00000011114","ENSG00000011114","BTBD7","55727","NM_001002860","BTB domain containing 7"
"ENSG00000011132","ENSG00000011132","APBA3","9546","NM_004886","amyloid beta precursor protein binding family A member 3"
"ENSG00000011143","ENSG00000011143","MKS1","54903","NM_001165927","Meckel syndrome, type 1"
"ENSG00000011198","ENSG00000011198","ABHD5","51099","NM_001355186","abhydrolase domain containing 5"
"ENSG00000011243","ENSG00000011243","AKAP8L","26993","NM_001291478","A-kinase anchoring protein 8 like"
"ENSG00000011258","ENSG00000011258","MBTD1","54799","NM_017643","mbt domain containing 1"
"ENSG00000011260","ENSG00000011260","UTP18","51096","NM_016001","UTP18, small subunit processome component"
"ENSG00000011275","ENSG00000011275","RNF216","54476","NM_019011","ring finger protein 216"
"ENSG00000011295","ENSG00000011295","TTC19","54902","NM_001271420","tetratricopeptide repeat domain 19"
"ENSG00000011304","ENSG00000011304","PTBP1","5725","NM_002819","polypyrimidine tract binding protein 1"
